Polska nazwa,Angielska nazwa,Interakcje
Adalimumab,Adalimumab,"Brak jest badań dotyczących wpływu leczenia adalimumabem na zdolność prowadzenia pojazdów mechanicznych. Należy zachować ostrożność podczas jazdy samochodem, ponieważ lek może powodować zawroty głowy i zaburzenia widzenia.
Adalimumab zwiększa stężenie enzymów wątrobowych we krwi, a także kinazy kreatynowej (CK). Stężenie kinazy jest oznaczane przy podejrzeniu zawału mięśnia sercowego czy przy pojawiających się bólach mięśniowych i osłabieniu mięśni.
"
Adapalen,Adapalene,"Nie należy stosować adapalenu u kobiet w ciąży oraz u kobiet planujących potomstwo. Badania na zwierzętach wykazały, że duże dawki adapalenu stosowanego doustnie wywierają toksyczny wpływ na płód. Dane dotyczące miejscowego stosowania substancji u kobiet w ciąży są ograniczone.
"
Adefowir,Adefovir,"Posiłek bogaty w tłuszcz wydłuża czas potrzebny do osiągnięcia maksymalnego stężenia adefowiru we krwi średnio o 120 minut. 
Adefowir zmniejsza tempo eliminacji olejku goździkowego i eukaliptusowego, co może skutkować zwiększonym stężeniem olejków w surowicy krwi.
"
Adenozyna,Adenosine,"Nie należy spożywać produktów zawierających ksantyny, jak np. herbata, kawa, czekolada, napoje energetyczne typu cola, na minimum 12 godzin przed podaniem adenozyny.
"
Adrenalina,Adrenaline,"Alkohol nasila działanie adrenaliny.
"
Afamelanotyd,Afamelanotide,"U pacjentów zażywających leki zmniejszające krzepliwość krwi (warfaryna, antagonisty witaminy K, kwas acetylosalicylowy, niesteroidowe leki przeciwzapalne), może pojawić się nasilone zasinienie lub krwawienie w miejscu podania implantu z afamelanotydem.
"
Afatynib,Afatinib,"Przyjęcie leku z posiłkiem (zwłaszcza bogatotłuszczowym) wiąże się ze zmniejszeniem ekspozycji na afatynib, co wpływa na obniżenie skuteczności leczenia.
Ziele dziurawca (Hypericum perforatum) może zmniejszyć ekspozycję na afatynib, a tym samym skuteczność działania przeciwnowotworowego.
"
Agalzydaza,alfa,"Agalzydaza alfa nie wpływa na zdolność prowadzenia pojazdów i obsługi maszyn. 
"
Agalzydaza,beta,"Podczas stosowania agalzydazy beta mogą wystąpić zawroty głowy, senność lub omdlenia. 
"
Agomelatyna,Agomelatine,"Posiłek bogatotłuszczowy, może mieć wpływ na szybkość wchłaniania oraz dostępność biologiczną agomelatyny.
Nie zalecane jest, stosowanie agomelatyny u pacjentów z chorobami wywołanymi nadużywaniem alkoholu oraz spożywających znaczne ilości alkoholu, ze względu na ryzyko toksyczności i trwałego uszkodzenia wątroby.
Preparaty z agomelatyną zawierają laktozę. Zatem takie leki nie powinny być podawane pacjentom cierpiącym na dziedziczną nietolerancję galaktozy lub niedobór enzymu laktazy oraz pacjentom z zespołem złego wchłaniania glukozy-galaktozy.
"
Akamprozat,(Acetylohomotaurynian,"Jednoczesne przyjmowanie akamprozatu i alkoholu nie ma wpływu na farmakokinetykę obu substancji.
"
Akarboza,Acarbose,"Podczas stosowania akarbozy należy ograniczyć spożycie produktów spożywczych zawierających sacharozę ze względu na możliwość wystąpienia biegunek lub innych objawów niepożądanych ze strony układu pokarmowego.
Nie należy spożywać alkoholu podczas leczenia akarbozą. Alkohol spożyty w trakcie leczenia może znacząco obniżać poziom cukru we krwi i wywoływać objawy takie jak nadmierne pocenie, uczucie głodu, kołatanie serca, niepokój, zaburzenia widzenia, drżenie rąk, bóle głowy, senność i bladość.
"
Aksytynib,Axitinib,"W trakcie terapii aksytynibem nie zaleca się spożywania grejpfrutów, gdyż może on zwiększać stężenie leku w osoczu.
"
Albendazol,Albendazole,"Zastosowanie albendazolu łącznie z pokarmem o dużej zawartości tłuszczu zwiększa pięciokrotnie jego wchłanianie.
"
Albiglutyd,Albiglutide,"Albiglutyd podaje się niezależnie od posiłków. Ze względu na ryzyko odwodnienia na wskutek możliwych wymiotów i biegunki zaleca się przyjmowanie zwiększonej ilości płynów podczas terapii lekiem.
Alkohol wpływa na poziom glukozy we krwi. Należy unikać spożywania alkoholu zwłaszcza po wysiłku fizycznym lub na pusty żołądek ponieważ sprzyja to wystąpieniu hipoglikemii.
Dziurawiec zwyczajny zmniejsza siłę działania albiglutydu, podobnie jak roślina przęśl chińska (Ephedra sinica). Guma guar pozyskiwana z nasion Cyamopsis tetragonolobus (stosowana jako dodatek do żywności) zwiększa ryzyko hipoglikemii podczas terapii albiglutydem. Podobnie działa olej rybny.
"
Albumina,ludzka,"Preparatów albuminy ludzkiej nie można łączyć z żywieniem pozajelitowym. Zachodzi interakcja prowadząca do wytrącania się białek. 
Preparatów albuminy ludzkiej nie można łączyć z roztworami zawierającymi alkohol. Takie połączenie może stać się przyczyną wytrącania białek. 
Przeciwwskazane jest rozcieńczanie preparatów albuminy ludzkiej wodą do wstrzykiwań. Takie połączenie grozi wystąpieniem hemolizy, czyli rozpadu krwinek czerwonych u pacjenta.
"
Alektynib,Alectinib,"Stosowanie soku grejpfrutowego wraz z alektynibem może hamować jego metabolizm i zwiększać stężenie alektynibu we krwi.
Należy mieć na uwadze, iż sok grejpfrutowy oraz sok z gorzkich pomarańczy hamują metabolizm alektynibu. Ponadto preparaty Dziurawca zwyczajnego (Hypericum perforatum) indukują metabolizm alektynibu. Raczej nie ma to znaczenia klinicznego, ze względu na aktywność metabolitu M4, jednak zaleca się ostrożność w kwestii takich połączeń. Należy pamiętać, że nie można wykluczyć zmniejszającego wpływu alektynibu na skuteczność doustnych środków antykoncepcyjnych.
"
Alemtuzumab,Alemtuzumab,"Nie wolno stosować w jednej infuzji roztworu alemtuzumabu oraz innych leków.
"
Alendronian,sodu,"Alendronian sodu, nie powinien być przyjmowany z pokarmami bogatymi w wapń, glin, magnez, żelazo oraz cynk. Nie jest zalecane stosowanie go z napojami zawierającymi kofeinę oraz z wodą mineralną. Wszystkie z wymienionych substancji zmniejszają wchłanianie i skuteczność alendronianu.
Podczas terapii alendronianem sodu, pacjenci są objęci całkowitym zakazem spożywania alkoholu.
Alendronian sodu wykazuje duży wpływ na metabolizm wapnia. Lekarze radzą odstawić go przed wykonaniem badań czynnościowych przytarczyc oraz oznaczeniem poziomu wapnia w surowicy krwi.
"
Alfakalcydol,Alfacalcidol,"Podczas terapii alfakalcydolem należy ograniczyć produkty mleczne w diecie, z uwagi na ryzyko hiperkalcemii (podwyższonego poziomu wapnia we krwi).
Alfakalcydol w związku ze zwiększaniem poziomu wapnia we krwi, nasila toksyczność glikozydów nasercowych. Są one składnikami preparatów ziołowych zawierających: Digitalis purpurea (naparstnica purpurowa), Digitalis lanata (naparstnica wełnista), Adonis vernalis (miłek wiosenny), Convallaria majalis (konwalia majowa).
"
Alfuzosyna,Alfuzosin,"Sam lek nie wpływa na zdolność prowadzenia pojazdem. Warto jednak rozważyć, czy jego efekty uboczne, takie jak: zawroty głowy, senność, osłabienie, nie wpłyną na bezpieczeństwo jazdy.
Mogą wystąpić interakcje z lekami służącymi do znieczulenia ogólnego, objawiające się spadkiem ciśnienia tętniczego. W związku z tym zaleca się odstawienie preparatów z alfuzosyną na 24 h przed zabiegami przebiegającymi w znieczuleniu ogólnym.
"
Alipogenu,typarwowek,"Alipogenu typarwowek może w niewielkim stopniu wpływać na zdolność prowadzenia pojazdów. Pacjenci, którzy obserwują u siebie zawroty głowy powinni powstrzymać się od prowadzenia pojazdów.
"
Alirokumab,Alirocumab,"Nie wykazano, aby alirokumab wchodził w interakcje z żywnością.
Podczas przeprowadzonych badań, nie wykazano interakcji alirokumabu z alkoholem.
Na farmakokinetykę alirokumabu ma wpływ masa ciała. Wykazano, że narażenie na alirokumab w stanie stacjonarnym u pacjentów o masie ciała powyżej 100 kg, było zmniejszone w stosunku do pacjentów o masie ciała w zakresie od 50 do 100 kg.
"
Aliskiren,Aliskiren,"W trakcie terapii aliskirenem należy ograniczyć spożywanie tłustych potraw, ponieważ mogą one prowadzić do zmniejszenia wchłaniania aliskirenu. 
Nie należy łączyć aliskirenu z alkoholem ze względu na ryzyko bezpośrednio po spożyciu na wystąpienia niedociśnienia.
W trakcie kuracji aliskirenem nie należy przyjmować preparatów dziurawca, który zmniejsza dostępność biologiczną aliskirenu.
"
Alitretynoina,Alitretinoin,"Pokarm zwiększa ogólnoustrojową ekspozycję alitretynoiny 4 krotnie, jednocześnie zmniejszając zmienność ekspozycji.
Alitretynoina może zwiększać aktywność kinazy fosfokreatynowej w surowicy krwi.
"
Allopurynol,Allopurinol,"U pacjentów stosujących allopurynol wystąpiły działania takie jak: senność, zawroty głowy oraz ataksja, dlatego przed przystąpieniem do prowadzenia pojazdu lub obsługi maszyn potencjalnie niebezpiecznych należy upewnić się czy działania te ustąpiły.
"
Almotryptan,Almotriptan,"Posiłek nie zmienia wchłaniania substancji.
Równoległe stosowanie z almotryptanem preparatów ziela dziurawca może powodować nasilenie działań niepożądanych almotryptanu.
"
Alogliptyna,Alogliptin,"Alogliptynyna nie ma wpływu lub wywiera niewielki wpływ na zdolność prowadzenia pojazdów i obsługiwania maszyn. W terapii skojarzonej z pochodną sulfonylomocznika, insuliną lub z tiazolidynodionem i metforminą, może powodować hipoglikemię (niedocukrzenie), co jest wskazaniem do zachowania ostrożności w trakcie prowadzenia pojazdów i maszyn w ruchu.
"
Alprazolam,Alprazolam,"U niektórych pacjentów zaobserwowano nadmierne uspokojenie przy spożywaniu soku grejpfrutowego podczas terapii alprazolamem. W trakcie terapii substancją zaleca się unikanie picia dużych ilości soku grejpfrutowego, gdyż może on działać hamująco na metabolizm alprazolamu.
Nie wolno spożywać alkoholu w trakcie leczenia alprazolamem. Alkohol nasila działanie depresyjne na centralny układ nerwowy, nasilając działania niepożądane substancji. Przy jednoczesnym stosowaniu alkoholu mogą wystąpić nadmierne uspokojenie, zaburzenia koncentracji i koordynacji, a także groźne powikłania krążeniowo-oddechowe.
Dym tytoniowy jako stymulator centralnego układu nerwowego może obniżać skuteczność leczenia benzodiazepinami, tym samym u palaczy alprazolam może działać słabiej i istnieje konieczność zwiększenia dawki leku u osób palących. Z kolei przy rzucaniu palenia tytoniu, zwłaszcza jeśli wypalano dużą ilość papierosów, może okazać się konieczne zmniejszenie dawki leku.
"
Alprostadyl,Alprostadil,"Alprostadyl wywiera umiarkowany wpływ na zdolność obsługiwania pojazdów mechanicznych, w tym samochodów. W przypadku zastosowania leku w postaci kremu pacjent powinien unikać prowadzenia samochodu przez okres 60-120 minut, kiedy to ryzyko ewentualnych działań niepożądanych (zawrotów głowy, omdleń) jest największe.
Alprostadyl może wpływać na poziom glukozy we krwi powodując hipoglikemię (rzadkie działanie niepożądane) oraz hipokaliemię (częste działanie uboczne leku).
"
Alteplaza,Alteplase,"Takie pokarmy jak czosnek, imbir i borówka czarna nasilają trombolityczne działanie alteplazy.
Wyciąg z miłorzębu japońskiego (Ginko biloba) może nasilać działanie trombolityczne alteplazy.
"
Amantadyna,Amantadine,"Nie należy łączyć amantadyny i alkoholu ze względu na nasilenie działania toksycznego na ośrodkowy układ nerwowy i zmniejszenie tolerancji alkoholu.
"
Ambazon,Ambazone,"Pokarm może osłabiać siłę działania ambazonu. Zaleca się stosowanie 15 minut po posiłku, a po zastosowaniu powstrzymać się od jedzenia przez 2 - 3 godziny.
"
Ambenonium,Ambenonium,"Brak jest danych na temat negatywnego wpływu ambenonium na prowadzenie pojazdów. Jednakże jeśli u pacjenta dojdzie do zwężenia źrenic, niewyraźnego widzenia, lęku lub zawrotów głowy może się to realnie przekładać na sprawność psycho-fizyczną. Należy wówczas zachować ostrożność podczas prowadzenia i obsługiwania urządzeń mechanicznych w ruchu.
"
Ambrisentan,Ambrisentan,"Ponieważ ambrisentan jest stosunkowo nowym lekiem i istnieje zbyt mała liczba badań dotyczących interakcji tego leku z żywnością, na chwilę obecną zakłada się, że nie istnieją żadne znaczące klinicznie interakcje z pożywieniem.
Dane na temat interakcji ambrisentanu z alkoholem są dość ograniczone. Jednakże biorąc pod uwagę główne przeciwwskazania ambrisentanu (ciężka niewydolność wątroby) można spodziewać się, że jednoczesne stosowanie alkoholu, który negatywnie wpływa na czynność wątroby, może dodatkowo nasilać jej uszkodzenie.
"
Ambroksol,Ambroxol,"Ambroksol przenika do łożyska, jednakże nie wykazano szkodliwego wpływu przyjmowania tej substancji na przebieg ciąży, rozwój zarodka i płodu, poród oraz dalszy rozwój dziecka. Należy zachować ostrożność podczas stosowania ambroksolu u kobiet w ciąży. Nie zaleca się podawania ambroksolu w pierwszym trymestrze ciąży. 
"
Amfoterycyna,B,"Nie przeprowadzano badań nad wpływem zarejestrowanych w Polsce preparatów Amfoterycyny B na prowadzenie pojazdów mechanicznych i obsługę maszyn. Leki te jednak mogą wywoływać działania niepożądane rzutujące na sprawność psychofizyczną takie jak: bóle i zawroty głowy, zaburzenia widzenia, niedociśnienie. Ponadto pacjenci przyjmujący Amfoterycynę B z reguły nie są w stanie prowadzić pojazdów ze względu na swój stan zdrowia.
W niektórych badaniach występowały ostre reakcje płucne gdy pacjentom otrzymującym amfoterycynę B jednocześnie lub w małym odstępie czasowym przetaczano leukocyty.  Dlatego zaleca się aby te infuzje były jak najbardziej rozdzielone w czasie a czynność płuc pacjenta szczególnie kontrolowana.
"
Amidotryzoinian,Amidotrizoate,"Podawanie amidotryzoinianu na czczo po wcześniejszym opróżnieniu jelita zwiększa skuteczność diagnostyczną badania.
Diagnostyka i leczenie chorób tarczycy z zastosowaniem tyreotropowych radioizotopów mogą być problemowe nawet do kilkudzieisięciu dni po zastosowaniu jodowych środków kontrastowych, gdyż powodują one zmniejszone wchłanianie radioizotopu.
"
Amifamprydyna,Amifampridine,"Stosowanie amifamprydyny wiąże się z ryzykiem wystąpienia objawów wpływających w niewielkim lub umiarkowanym stopniu na zdolność prowadzenia pojazdów tj. zawroty głowy, senność, zaburzenia widzenia, napady drgawkowe.
"
Amikacyna,Amikacin,"Brak badań odnośnie wpływu amikacyny na prowadzenie maszyn i pojazdów. Należy jednak zachować ostrożność z powodu niektórych działań niepożądanych leku. 
Podanie amikacyny razem z lekami wpływającymi na przewodnictwo nerwowo-mięśniowe (tubokuraryna, atrakurium) lub środkami znieczulającymi (halotan) może doprowadzić do wystąpienia bloku nerwowo-mięśniowego, który jest zagrożeniem dla życia pacjenta z powodu ryzyka depresji oddechowej.
"
Amilorid,Amiloride,"Amilorid należy zażywać podczas posiłku. Pomaga to uniknąć podrażnień ze strony przewodu pokarmowego. Podczas leczenia powinno unikać się spożywania produktów bogatych w potas. Posiłki zmniejszają wchłanialność amiloridu o 30%.
Alkohol nasila hipotensyjne działanie amiloridu.
Amilorid może fałszować wyniki testów na czynność przytarczyc. Lek wpływa na metabolizm wapnia.
"
Aminofluorek,Amine,"Bezpośrednie spożycie mleka (zawierającego wapń oraz magnez) po zastosowaniu aminofluorku może zmniejszyć skuteczność działania substancji.
"
Aminolewulinian,heksylu,"Brak przeprowadzonych badań opisujących jaki jest wpływ substancji czynnej na prowadzenie pojazdów i obsługiwanie maszyn.
"
Amiodaron,Amiodarone,"Posiłek nie ma wpływu na wchłanianie amiodaronu - związek ten jest wystarczająco lipofilny, aby jego absorpcja zachodziła na optymalnym poziomie. Lek ten można przyjmować z posiłkiem lub bez.
Ze względu na fakt, że zarówno amiodaron jak i etanol podlegają metabolizmowi wątrobowemu, przeciwwskazane jest spożywanie jakichkolwiek napojów alkoholowych podczas stosowania tego leku. Połączenie tych dwóch substancji może przyczynić się do poważnych zaburzeń pracy wątroby, w tym nieodwracalnego uszkodzenia tego narządu.
Ze względu na fakt, że amiodaron może wpływać na tarczycę płodu, przeciwwskazane jest stosowanie go u kobiet ciężarnych, z wyjątkiem sytuacji, gdy jest to bezwzględnie konieczne (stan zagrożenia życia bądź nieskuteczność innych leków).
"
Amisulpryd,Amisulpride,"Amisulpryd zwiększa działanie ośrodkowe alkoholu oraz powoduje obniżenie progu drgawkowego, co może mieć znaczenie w okresie odstawiennym od alkoholu. Lek może nasilać działania alkoholu takie jak: zaburzenia równowagi, sprawności i koordynacji ruchowej, spadek sprawności intelektualnej, opóźnienie czasu reakcji, senność, zaburzenia widzenia. Niesie to ryzyko groźnych upadków, wypadków w pracy oraz w trakcie obsługi urządzeń mechanicznych.
"
Amitryptylina,Amitriptyline,"Pokarmy bogate w błonnik takie jak np. owsianka, otręby, ziarna nasion itp. mogą zmniejszać wchłanianie amitryptyliny z przewodu pokarmowego.
Podczas stosowania amitryptyliny nie powinno się spożywać alkoholu, gdyż nasila on depresyjne działanie leku na ośrodkowy układ nerwowy. Przy jednoczesnym stosowaniu alkoholu mogą wystąpić nadmierne uspokojenie, senność, zaburzenia równowagi i koncentracji.
Dym tytoniowy może zwiększać klirens amitryptyliny, powodując zmniejszenie stężenia leku we krwi. Przy rzucaniu palenia, (zwłaszcza jeśli wypalano dużą ilość papierosów) może okazać się konieczne zmniejszenie dawki amitryptyliny.
"
Amlodypina,Amlodipine,"Amlodypina może być przyjmowana razem z pokarmem. Pożywienie nie ma wpływu na wchłanianie leku z przewodu pokarmowego.
Preparaty zawierające wyciągi z dziurawca mogą zmniejszać stężenie amlodypiny w osoczu.
"
Amoksycylina,Amoxicillin,"Nie badano wpływu amoksycyliny na zdolność prowadzenia pojazdów i obsługiwania maszyn.
Podczas stosowania amoksycyliny można uzyskać fałszywie-pozytywne wyniki na obecność glukozy w moczu. Dlatego pacjenci badający obecność glukozy w moczu i jednocześnie stosujący amoksycylinę, powinni mieć przeprowadzone powyższe badanie metodą enzymatyczną, (z wykorzystaniem jako odczynnika oksydazy glukozowej), której wynik nie jest zaburzony przez cząsteczki antybiotyku.
"
Ampicylina,Ampicillin,"Ampicylina nie wpływa na prowadzenie pojazdów i obsługę maszyn w ruchu, jednak przy pojawieniu się działań niepożądanych ze strony układu nerwowego, takich jak uczucie zmęczenia, nie zaleca się prowadzenia pojazdów do momentu ustąpienia dolegliwości. 
Ampicylina może powodować fałszywie dodatni wynik oznaczenia glukozy w moczu, należy użyć testu enzymatycznego. 
"
Amsakryna,Amsacrine,"Brak jest danych sugerujących negatywny wpływ amsakryny na prowadzenie pojazdów i obsługę maszyn, jednak biorąc pod uwagę profil działań niepożądanych nie jest to zalecane w czasie leczenia tym lekiem.
"
Anagrelid,Anagrelide,"Anagrelid może powodować zawroty głowy, z tego względu nie należy prowadzić pojazdów ani obsługiwać maszyn w ruchu aż do ustąpienia objawów niepożądanych. 
"
Anakinra,Anakinra,"Anakinra nie wywiera wpływu na prowadzenie pojazdów i obsługę maszyn w ruchu. 
"
Anastrozol,Anastrozole,"Stosowanie z posiłkami zwalnia wchłanianie anastrozolu ale nie ma to znaczenia klinicznego.
"
Antazolina,Antazoline,"Nie są znane interakcje antazoliny z pożywieniem. 
Nie należy łączyć antazoliny z alkoholem ze względu na hamujący wpływ na układ nerwowy. Efektem takiej interakcji może być u pacjenta: splątanie myśli, zaburzenia koncentracji oraz trudności z logicznym myśleniem.
"
Apiksaban,Apixaban,"Podczas leczenia apiksabanem należy unikać pokarmów bogatych w witaminę K, czyli dużych ilości liściastych zielonych warzyw i niektórych olejów roślinnych. Należy unikać soku żurawinowego i produktów zawierających żurawinę.
Nie zaleca się spożywania produktów alkoholowych podczas terapii apiksabanem.
Jednoczesne stosowanie apoksabanu z zielem dziurawca może zmniejszać zdolność leku do zapobiegania tworzeniu się zakrzepów.
"
Apomorfina,Apomorphine,"Nie należy łączyć alkoholu z apomorfiną ponieważ może dojść do nasilenie skutków ubocznych stosowanego preparatu. W szczególności niebezpieczne jest nasilenie działania obniżającego ciśnienie krwi.
"
Apraklonidyna,"Apraclonidine,","Nie wykazano interakcji między apraklonidyną, a pożywieniem.
Alkohol w połączeniu z apraklonidyną może mieć działanie addytywne lub wzmacniające depresyjne na ośrodkowy układ nerwowy (OUN).
"
Apremilast,Apremilast,"Apremilast nie wywiera wpływu na zdolność prowadzenia pojazdów i obsługi maszyn potencjalnie niebezpiecznych lub wpływ na powyższe czynności jest nieistotny.
Jednoczesne stosowanie apremilastu z wyciągiem z dziurawca prowadzi do znacznego osłabienia działania leku. Leczenie apremilastem może nie przynosić spodziewanej poprawy.
"
Aprepitant,Aprepitant,"W wyniku stosowania aprepitantu mogą ujawnić się takie działania niepożądane leku jak zwroty głowy czy senność, dlatego aprepitant może mieć wpływ na zdolność obsługi maszyn i prowadzenie pojazdów.
W czasie leczenia przy pomocy aprepitantu nie jest zalecane spożywanie naparów w ziela dziurawca oraz innych suplementów diety zawierających w swoim składzie wyciąg z ziela dziurawca.
"
Aprotynina,Aprotinin,"Aprotynina nie wywiera wpływu na prowadzenie pojazdów oraz obsługę maszyn w ruchu. 
"
Artykaina,Articaine,"Artykaina może wywierać niewielki wpływ na zdolność prowadzenia pojazdów. U pacjenta mogą wystąpić objawy takie jak zawroty głowy, zaburzenia widzenia i zmęczenie, które zazwyczaj ustępują w ciągu 30 minut od zakończenia zabiegu stomatologicznego. Zaleca się zachowanie ostrożności po znieczuleniu do czasu odzyskania dobrego samopoczucia.
"
Arypiprazol,(Aripiprazol),"Zaleca się przyjmowanie dużej ilości płynów aby zapobiec odwodnieniu organizmu podczas terapii arypiprazolem.
Alkohol nasila działanie depresyjne arypiprazolu na ośrodkowy układ nerwowy.
Jednoczesne stosowanie ziela dziurawca i jego preparatów zmniejsza stężenie i działanie arypiprazolu.
"
Asenapina,Asenapine,"Należy zachować ostrożność łącząc asenapinę z alkoholem, ponieważ alkohol może nasilać hamujący wpływ leku na ośrodkowy układ nerwowy.
"
Asfotaza,alfa,"Stosowanie asfotazy alfa może zaburzać wyniki testów laboratoryjnych, wykorzystujących do oznaczeń fosfatazę alkaliczną. Ze względu na podobieństwa strukturalne obu substancji istnieje prawdopodobieństwo uzyskiwania wyników zafałszowanych badań wykorzystujących sprzężenie z fosfatazą alkaliczną takich jak oznaczenia hormonów, ilości przeciwciał czy też antygenów bakteryjnych. W celu uniknięcia interakcji, należy się upewnić, czy planowane testy laboratoryjne nie wykorzystują fosfatazy alkalicznej.
"
Asparaginaza,Asparaginase,"Asparaginaza może powodować umiarkowane objawy wpływające na zdolność prowadzenia pojazdów i obsługiwania maszyn związane z jej działaniem na układ pokarmowy i układ nerwowy. Zaleca się zachowanie ostrożności podczas terapii substancją czynną.
"
Ataluren,Ataluren,"Wpływ atalurenu na prowadzenie pojazdów i obsługę maszyn nie został przebadany. Pacjenci, u których występują zawroty głowy powinni zachować szczególną ostrożność.
"
Atazanawir,Atazanavir,"Dla poprawienia biodostępności atazanawiru należy stosować go w połączeniu z pokarmem. Badania prowadzone na pacjentach leczonych atazanawirem 300 mg i rytonawirem 100 mg w połączeniu z lekkostrawnym posiłkiem jednoznacznie wykazały wzrost stężenia pod krzywą AUC dla atazanawiru o 33 % oraz wzrost Cmax . Takich wzrostów nie uzyskano po podaniu z pokarmem wysokotłuszczowym oraz na czczo.
Alkohol spożywany w czasie terapii atazanawirem może zwiększać ryzyko wystąpienia działań niepożądanych, głównie martwicy tkanki kostnej.
W przypadku stosowania leczenia skojarzonego atazanawiru z rytonawirem należy zapoznać się z CHPL rytonawiru, ponieważ rytonawir może powodować dominujące interakcje z lekami metabolizowanymi w wątrobie przez cytochrom CYP3A4. Jest on silniejszym inhibitorem CYP3A4 niż atazanawir.
"
